,Topic_Num,Topic_Perc_Contrib,Keywords,Text_x,liststring,url,date,content,renderedContent,id,user,outlinks,tcooutlinks,replyCount,retweetCount,likeCount,quoteCount,conversationId,lang,source,sourceUrl,sourceLabel,media,retweetedTweet,quotedTweet,mentionedUsers,proc_text,Text_y
0,0.0,0.8608999848365784,"cidh, director, expertos, ayotzinapa, todas, presenta, grupo, ai, caso, buscan","['Trabajo', 'expertos', 'CIDH', ',', 'oportunidad', 'enmendar', 'errores', 'Ayotzinapa', ':', 'AI']","Trabajo,expertos,CIDH,,,oportunidad,enmendar,errores,Ayotzinapa,:,AI",https://twitter.com/JoeSantanaB/status/573137864633933824,2015-03-04 15:08:09+00:00,"Trabajo de expertos de CIDH, oportunidad para enmendar errores sobre Ayotzinapa: AI http://t.co/JaZ7lxGSjS","Trabajo de expertos de CIDH, oportunidad para enmendar errores sobre Ayotzinapa: AI owl.li/JU4nv",5.73e+17,"{'username': 'JoeSantanaB', 'displayname': 'Joe Santana', 'id': 158214738, 'description': 'Explorar cada rincón de México y sus bellezas naturales.   \n📸 GoPro 6 \n📷 Canon', 'rawDescription': 'Explorar cada rincón de México y sus bellezas naturales.   \n📸 GoPro 6 \n📷 Canon', 'descriptionUrls': [], 'verified': False, 'created': '2010-06-22T02:40:20+00:00', 'followersCount': 2968, 'friendsCount': 797, 'statusesCount': 47570, 'favouritesCount': 8373, 'listedCount': 37, 'mediaCount': 11357, 'location': 'Ciudad de Mexico', 'protected': False, 'linkUrl': 'https://www.instagram.com/joesantanab', 'linkTcourl': 'https://t.co/h6Xmf8HbdH', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1100199290935365633/aasR20EO_normal.png', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/158214738/1493259788', 'url': 'https://twitter.com/JoeSantanaB'}",['http://owl.li/JU4nv'],['http://t.co/JaZ7lxGSjS'],0,0,0,0,5.73e+17,es,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",http://twitter.com/download/android,Twitter for Android,,,,,"Trabajo de expertos de CIDH, oportunidad para enmendar errores sobre Ayotzinapa: AI","['Trabajo', 'expertos', 'CIDH', ',', 'oportunidad', 'enmendar', 'errores', 'Ayotzinapa', ':', 'AI']"
23,1.0,0.9025999903678894,"las, epn, ayotzinapa, marcharon, ni, casa, llegan, olvidamos, blanca, visita","['Legislador', 'britnico', 'protest', 'Ayotzinapa', 'visita', 'EPN', '-', 'Legislador', 'britnico', 'protest', '...']","Legislador,britnico,protest,Ayotzinapa,visita,EPN,-,Legislador,britnico,protest,...",https://twitter.com/universalplusjl/status/574603486790287360,2015-03-08 16:12:01+00:00,Legislador británico protestó por Ayotzinapa durante visita de EPN - Legislador británico protestó por... http://t.co/BaezvMosrD,Legislador británico protestó por Ayotzinapa durante visita de EPN - Legislador británico protestó por... tmblr.co/ZPjaOq1fJoRVz,5.75e+17,"{'username': 'universalplusjl', 'displayname': 'Jose Luis Vazquez', 'id': 39993936, 'description': 'Digital  Advertising | E.R.P | C.R.M | Open Source | IT | Conversion.\nAyudo a conseguir clientes Premium.\nmx.linkedin.com/in/universalpl…', 'rawDescription': 'Digital  Advertising | E.R.P | C.R.M | Open Source | IT | Conversion.\nAyudo a conseguir clientes Premium.\nhttps://t.co/df5QwvWiUN', 'descriptionUrls': [{'text': 'mx.linkedin.com/in/universalpl…', 'url': 'https://mx.linkedin.com/in/universalplusjl', 'tcourl': 'https://t.co/df5QwvWiUN', 'indices': [106, 129]}], 'verified': False, 'created': '2009-05-14T13:36:14+00:00', 'followersCount': 5541, 'friendsCount': 5468, 'statusesCount': 54451, 'favouritesCount': 245, 'listedCount': 76, 'mediaCount': 5856, 'location': 'Internet', 'protected': False, 'linkUrl': 'https://www.xing.com/profile/JoseLuis_Vazquez15?sc_o=mxb_p', 'linkTcourl': 'https://t.co/F7NoGztGEf', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1333674545019052032/K0FTIcX2_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/39993936/1602738139', 'url': 'https://twitter.com/universalplusjl'}",['http://tmblr.co/ZPjaOq1fJoRVz'],['http://t.co/BaezvMosrD'],0,0,0,0,5.75e+17,es,"<a href=""https://www.tumblr.com/"" rel=""nofollow"">Tumblr</a>",https://www.tumblr.com/,Tumblr,,,,,Legislador britnico protest por Ayotzinapa durante visita de EPN - Legislador britnico protest por...,"['Legislador', 'britnico', 'protest', 'Ayotzinapa', 'visita', 'EPN', '-', 'Legislador', 'britnico', 'protest', '...']"
25,2.0,0.8917999863624573,"elecciones, in, mexico, debe, cruz, ayotzinapa, desapariciones, llaman, on, telesur","['nyeusij', ':', 'Some', 'facts', 'on', 'the', 'situation', 'in', 'Mexico']","nyeusij,:,Some,facts,on,the,situation,in,Mexico",https://twitter.com/Bucaner0/status/573874179545563136,2015-03-06 15:54:01+00:00,RT nyeusij: Some facts on the situation in Mexico #Acapulco #Ayotzinapa http://t.co/kEK1DP8as7,RT nyeusij: Some facts on the situation in Mexico #Acapulco #Ayotzinapa pic.twitter.com/kEK1DP8as7,5.74e+17,"{'username': 'Bucaner0', 'displayname': 'Con cero al final', 'id': 104239203, 'description': '', 'rawDescription': '', 'descriptionUrls': [], 'verified': False, 'created': '2010-01-12T18:45:16+00:00', 'followersCount': 9633, 'friendsCount': 8255, 'statusesCount': 116561, 'favouritesCount': 978, 'listedCount': 197, 'mediaCount': 5302, 'location': '', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1117193321/Captain_Jack_Sparrow_by_JPRart_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/104239203/1398277241', 'url': 'https://twitter.com/Bucaner0'}",['https://twitter.com/nyeusij/status/573669780088971265/photo/1'],['http://t.co/kEK1DP8as7'],0,0,0,0,5.74e+17,en,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",https://about.twitter.com/products/tweetdeck,TweetDeck,,,,,nyeusij: Some facts on the situation in Mexico,"['nyeusij', ':', 'Some', 'facts', 'on', 'the', 'situation', 'in', 'Mexico']"
26,3.0,0.756600022315979,"en, ayotzinapa, verdad, gt, vive, voces, despus, carteles, muestra, votar","['ALERTA', '!', 'En', 'minutos']","ALERTA,!,En,minutos",https://twitter.com/JohnGouvas/status/581182695465713665,2015-03-26 19:55:27+00:00,"¡ALERTA! 

En 5 minutos #PaseDeLista1al43 con @DuelesMexico

#Ayotzinapa 
#AccionGlobalporAyotzinapa 
@HastaLaMadre http://t.co/p2p11kO1IS","¡ALERTA! 

En 5 minutos #PaseDeLista1al43 con @DuelesMexico

#Ayotzinapa 
#AccionGlobalporAyotzinapa 
@HastaLaMadre http://t.co/p2p11kO1IS",5.81183e+17,"{'username': 'JohnGouvas', 'displayname': 'John Gouvas', 'id': 979838041, 'description': ""«καὶ ὄνομα μὲν διὰ τὸ μὴ ἐς ὀλίγους ἀλλ' ἐς πλείονας οἰκεῖν Δημοκρατία κέκληται · μέτεστι δὲ κατὰ μὲν τοὺς νόμους πρὸς τὰ ἴδια διάφορα πᾶσι τὸ ἴσον»"", 'rawDescription': ""«καὶ ὄνομα μὲν διὰ τὸ μὴ ἐς ὀλίγους ἀλλ' ἐς πλείονας οἰκεῖν Δημοκρατία κέκληται · μέτεστι δὲ κατὰ μὲν τοὺς νόμους πρὸς τὰ ἴδια διάφορα πᾶσι τὸ ἴσον»"", 'descriptionUrls': [], 'verified': False, 'created': '2012-11-30T05:42:13+00:00', 'followersCount': 779, 'friendsCount': 943, 'statusesCount': 35737, 'favouritesCount': 28373, 'listedCount': 24, 'mediaCount': 3662, 'location': '«μόνοι γὰρ τόν τε μηδὲν τῶνδε μετέχοντα οὐκ ἀπράγμονα, ἀλλ᾿ ἀχρεῖον νομίζομεν»', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/935215386211049472/R0Nv5LlB_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/979838041/1483735468', 'url': 'https://twitter.com/JohnGouvas'}",[],[],0,3,1,0,5.81183e+17,es,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>",http://twitter.com,Twitter Web Client,"[{'previewUrl': 'https://pbs.twimg.com/media/CBDGlMOWkAAftQl?format=jpg&name=small', 'fullUrl': 'https://pbs.twimg.com/media/CBDGlMOWkAAftQl?format=jpg&name=large', 'type': 'photo'}]",,,"[{'username': 'DuelesMexico', 'displayname': 'Alonso Oaxaca', 'id': 53910097, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/DuelesMexico'}, {'username': 'HastaLaMadre', 'displayname': 'Mexicandela', 'id': 1252042707108757505, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/HastaLaMadre'}]",ALERTA! En minutos con,"['ALERTA', '!', 'En', 'minutos']"
27,4.0,0.756600022315979,"los, habr, tambin, lder, maestros, ahora, estn, ayotzinapa, favor, desaparecidos","[':', 'Adems', 'recordar', 'Ayotzinapa', 'tambin', 'invitamos', 'manifestarse', 'favor', 'aparezcan', '!', '!', '!']",":,Adems,recordar,Ayotzinapa,tambin,invitamos,manifestarse,favor,aparezcan,!,!,!",https://twitter.com/DianaGasconC/status/580960426143281152,2015-03-26 05:12:13+00:00,“@Ibarraeloisa: @lopezdoriga Además de recordar lo de Ayotzinapa también lo invitamos a manifestarse a favor de que aparezcan!!!”,“@Ibarraeloisa: @lopezdoriga Además de recordar lo de Ayotzinapa también lo invitamos a manifestarse a favor de que aparezcan!!!”,5.8096e+17,"{'username': 'DianaGasconC', 'displayname': 'DianaGascónC 🕉✡🌍🇲🇽', 'id': 103415254, 'description': 'Diario morian miles de personas por falta de empleo, salud y 💰 para pagar una comida digna. Se acerca tu karma EPN y rateros del PRIANRD que saquearon a México', 'rawDescription': 'Diario morian miles de personas por falta de empleo, salud y 💰 para pagar una comida digna. Se acerca tu karma EPN y rateros del PRIANRD que saquearon a México', 'descriptionUrls': [], 'verified': False, 'created': '2010-01-09T23:33:26+00:00', 'followersCount': 7591, 'friendsCount': 2328, 'statusesCount': 651787, 'favouritesCount': 5147, 'listedCount': 163, 'mediaCount': 31575, 'location': 'Ciudad de Mexico, ', 'protected': False, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': 'https://pbs.twimg.com/profile_images/1334572742734192647/a0To3QrH_normal.jpg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/103415254/1584441316', 'url': 'https://twitter.com/DianaGasconC'}",[],[],0,0,0,0,5.8095e+17,es,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",http://twitter.com/download/iphone,Twitter for iPhone,,,,"[{'username': 'Ibarraeloisa', 'displayname': 'Eloisa Ibarra', 'id': 433823825, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/Ibarraeloisa'}, {'username': 'lopezdoriga', 'displayname': 'Joaquín López-Dóriga', 'id': 236636515, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/lopezdoriga'}]",: Adems de recordar lo de Ayotzinapa tambin lo invitamos a manifestarse a favor de que aparezcan!!!,"[':', 'Adems', 'recordar', 'Ayotzinapa', 'tambin', 'invitamos', 'manifestarse', 'favor', 'aparezcan', '!', '!', '!']"
28,5.0,0.8052999973297119,"ine, video, me, ayotzinapa, as, yamecanse_farc, anonymousglo, pendientes, bien, banda","['Me', 'gust', 'video', 'Edicin', ':', 'Versos', 'Ayotzinapa']","Me,gust,video,Edicin,:,Versos,Ayotzinapa",https://twitter.com/ArturoAlonzo/status/579533082933399552,2015-03-22 06:40:28+00:00,Me gustó un video de @YouTube de @El_Chamuco http://t.co/hupO77p38k Edición #315: Versos para Ayotzinapa,Me gustó un video de @YouTube de @El_Chamuco youtu.be/c6CjgNS7N7Q?a Edición #315: Versos para Ayotzinapa,5.79533e+17,"{'username': 'ArturoAlonzo', 'displayname': 'Arturo Alonzo', 'id': 99425967, 'description': 'Profesor Investigador de la Escuela Nacional de Antropología e Historia de México. Doctor en Historia por la USC, Doctor en Antropología Física por la ENAH.', 'rawDescription': 'Profesor Investigador de la Escuela Nacional de Antropología e Historia de México. Doctor en Historia por la USC, Doctor en Antropología Física por la ENAH.', 'descriptionUrls': [], 'verified': False, 'created': '2009-12-26T04:35:34+00:00', 'followersCount': 431, 'friendsCount': 1110, 'statusesCount': 5630, 'favouritesCount': 1681, 'listedCount': 5, 'mediaCount': 481, 'location': 'Ciudad de México', 'protected': False, 'linkUrl': 'http://pifmexicosigloxx.blogspot.com/', 'linkTcourl': 'https://t.co/TAr4tXaYoX', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/2714943189/cc6e550d850d6ffcacd52d9084fcf704_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/99425967/1449975594', 'url': 'https://twitter.com/ArturoAlonzo'}",['http://youtu.be/c6CjgNS7N7Q?a'],['http://t.co/hupO77p38k'],0,0,0,0,5.79533e+17,es,"<a href=""https://www.google.com/"" rel=""nofollow"">Google</a>",https://www.google.com/,Google,,,,"[{'username': 'YouTube', 'displayname': 'YouTube', 'id': 10228272, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/YouTube'}, {'username': 'El_Chamuco', 'displayname': 'Revista El Chamuco', 'id': 17372602, 'description': None, 'rawDescription': None, 'descriptionUrls': None, 'verified': None, 'created': None, 'followersCount': None, 'friendsCount': None, 'statusesCount': None, 'favouritesCount': None, 'listedCount': None, 'mediaCount': None, 'location': None, 'protected': None, 'linkUrl': None, 'linkTcourl': None, 'profileImageUrl': None, 'profileBannerUrl': None, 'url': 'https://twitter.com/El_Chamuco'}]",Me gust un video de de Edicin : Versos para Ayotzinapa,"['Me', 'gust', 'video', 'Edicin', ':', 'Versos', 'Ayotzinapa']"
29,6.0,0.8052999973297119,"resolver, ny, amp, ayotzinapa, ayer, durante, po, ma, buscar, noche","['Ayotzinapa', '&', 'ampalestine', '&', 'amp', ';', 'Ferguson', '&', 'amp', ';', 'New', 'York', '&', 'amp', ';']","Ayotzinapa,&,ampalestine,&,amp,;,Ferguson,&,amp,;,New,York,&,amp,;",https://twitter.com/sistercirclecol/status/578566744635105280,2015-03-19 14:40:35+00:00,"Ayotzinapa&amp;
Palestine&amp;
Ferguson&amp;
New York&amp; http://t.co/PbDfwUCf7v","Ayotzinapa&amp;
Palestine&amp;
Ferguson&amp;
New York&amp; fb.me/3H2Yk2Ehi",5.79e+17,"{'username': 'sistercirclecol', 'displayname': 'Sister Circle', 'id': 2880041864, 'description': 'A transnational feminist grassroots community based in NYC. #CircleUp', 'rawDescription': 'A transnational feminist grassroots community based in NYC. #CircleUp', 'descriptionUrls': [], 'verified': False, 'created': '2014-10-27T22:04:19+00:00', 'followersCount': 487, 'friendsCount': 460, 'statusesCount': 5726, 'favouritesCount': 250, 'listedCount': 14, 'mediaCount': 136, 'location': 'New York, NY', 'protected': False, 'linkUrl': 'http://sistercirclecollective.org', 'linkTcourl': 'https://t.co/sGlsQ3qQLd', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/527134433803915265/GydJNuRy_normal.jpeg', 'profileBannerUrl': 'https://pbs.twimg.com/profile_banners/2880041864/1472582132', 'url': 'https://twitter.com/sistercirclecol'}",['http://fb.me/3H2Yk2Ehi'],['http://t.co/PbDfwUCf7v'],0,0,0,0,5.79e+17,und,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,,,,,Ayotzinapa&ampalestine&amp;Ferguson&amp;New York&amp;,"['Ayotzinapa', '&', 'ampalestine', '&', 'amp', ';', 'Ferguson', '&', 'amp', ';', 'New', 'York', '&', 'amp', ';']"
30,7.0,0.8608999848365784,"normalistas, ayotzinapa, familiares, normal, podemos, rural, oficial, escuela, resultados, versin","[',', '-', 'Concierto', 'Ayotzinapa', ':', 'Aniversario', 'Escuela', 'Normal', 'Rural', 'Isidro', 'Burgos', '...']",",,-,Concierto,Ayotzinapa,:,Aniversario,Escuela,Normal,Rural,Isidro,Burgos,...",https://twitter.com/EvensiEspanol/status/578527972577161216,2015-03-19 12:06:31+00:00,"#MexicoCity, #Mexico - Concierto por Ayotzinapa: 88 Aniversario de la Escuela Normal Rural Isidro Burgos @... http://t.co/3cM9NqGyde","#MexicoCity, #Mexico - Concierto por Ayotzinapa: 88 Aniversario de la Escuela Normal Rural Isidro Burgos @... fb.me/1OqMe2Ibf",5.79e+17,"{'username': 'EvensiEspanol', 'displayname': 'Evensi Español', 'id': 2591493499, 'description': 'Descubra eventos sugeridos en base a lo que te gusta. ¡Más de 50 millones de eventos de todo el mundo!', 'rawDescription': 'Descubra eventos sugeridos en base a lo que te gusta. ¡Más de 50 millones de eventos de todo el mundo!', 'descriptionUrls': [], 'verified': False, 'created': '2014-06-27T14:37:13+00:00', 'followersCount': 1106, 'friendsCount': 18, 'statusesCount': 104922, 'favouritesCount': 0, 'listedCount': 136, 'mediaCount': 0, 'location': '', 'protected': False, 'linkUrl': 'https://www.evensi.com', 'linkTcourl': 'https://t.co/A1655Cih1y', 'profileImageUrl': 'https://pbs.twimg.com/profile_images/482534155746426880/kw1pMRhH_normal.png', 'profileBannerUrl': None, 'url': 'https://twitter.com/EvensiEspanol'}",['http://fb.me/1OqMe2Ibf'],['http://t.co/3cM9NqGyde'],0,0,0,0,5.79e+17,es,"<a href=""http://www.facebook.com/twitter"" rel=""nofollow"">Facebook</a>",http://www.facebook.com/twitter,Facebook,,,,,", - Concierto por Ayotzinapa: Aniversario de la Escuela Normal Rural Isidro Burgos ...","[',', '-', 'Concierto', 'Ayotzinapa', ':', 'Aniversario', 'Escuela', 'Normal', 'Rural', 'Isidro', 'Burgos', '...']"
